Informazioni cronologiche,Hai vinto un buono da 30€. Come lo spendi?,Come ti comporti sui social? ,È ora di cena,Pregando di finire in zona gialla,"Quando ti trovi in una situazione nuova, circondat* da persone che vedi per la prima volta",Ti arrabbi soprattutto quando,Cosa ti preoccupa di più del futuro post-COVID?,Che pizza preferisci?,Sei tesserat* o fai vita associativa?,"Misuriamo l'umore, come ti senti ora?",Pensi che questo stato d'animo si prolungherà nel tempo?,"Secondo te, Bolzano ha bisogno di",Come vedi Bolzano?,"Cosa pensi se dico ""Intelligenza Artificiale""?",Quante ore dormi di solito la notte?,Mappa di Bolzano [Dov'è interessante?],Mappa di Bolzano [Dov'è rilassante?],Mappa di Bolzano [Dove ti incontri con gli amici?],Mappa di Bolzano [Dove non andresti?],Commento,Emozioni [Gioia ],Emozioni [Fiducia],Emozioni [Eccitazione],Emozioni [Ansia],Emozioni [Paura],Emozioni [Rabbia],Emozioni [Disgusto],Emozioni [Sorpresa],Emozioni [Tristezza],Rieccoti la mappa! [Rosso (A)],Rieccoti la mappa! [Arancione (B)],Rieccoti la mappa! [Giallo (C)],Rieccoti la mappa! [Verde (D)],Rieccoti la mappa! [Azzurro (E)],Rieccoti la mappa! [Blu (F)],Rieccoti la mappa! [Viola (G)],Luoghi/emozioni,Genere,Età,Luogo di nascita,"Se alla precedente domanda hai riposto Estero (EU) o Estero (no EU), specifica il paese qui sotto",Luogo di residenza,Livello di istruzione,Lingua madre,Lingue parlate,Stato civile,Con quante persone vivi?,Occupazione,Quanto lavori/studi?
03/02/2021 22.06.30,"Cosmetica, bellezza, benessere",7,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Aspetto che mi coinvolgano le altre persone,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera","La mia situazione, La situazione delle persone a me vicine",Patatine e wurstel,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza","Vecchia, più criminale di Trento, deserta, piccola, noiosa, tranquilla, ricca, fascista, indipendentista, preparata, trilingue, internazionale, fredda, calda",È una questione delicata che dobbiamo gestire,7,"1, 2",2,"1, 2","4, 5","Rencio è una zona che secondo me è dovrebbe essere separata dal centro, è milto diversa e sinceramente non mi piace frequentarla, a differenza del centro. Per Europa Novacella non ho messo nulla perché è in mezzo, quasi centrale come Gries Quirino ma anche più popolare e periferica come Don Bosco. Io la assimilerei a Don Bosco perché entrambe si sviluppano lungo Viale Druso e non noto grandi differenze nel passarci.",Non so,Non so,1,"1, 2, 3, 4, 5","4, 5",Non so,1,5,4,1,2,3,4,1,5,Non so,,Donna,21-30,Altro comune Trentino Alto Adige,,Trento,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Single,Con più di due coinquilin*,Student*,Part-time
05/02/2021 14.50.14,"Libri, giornali, riviste",5,Apro il frigo e improvviso,,,,La mia situazione,Capricciosa,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,Riqualificare/rimuovere i monumenti di epoca fascista,ricca di possibilità,È una questione delicata che dobbiamo gestire,6,"1, 2","1, 2, 3",1,5,,"1, 2","1, 2",1,"3, 5",Non so,Non so,Non so,"1, 2",5,5,4,3,"1, 2","1, 2",4,Non so,,Preferisco non rispondere,31-40,Altro comune Trentino Alto Adige,,Bolzano,Laurea specialistica,,Italiano,Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
05/02/2021 19.13.42,Articoli per la casa,4,Per fortuna vivo con altre persone che se ne occupano,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Capricciosa,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",,È una questione delicata che dobbiamo gestire,10,"1, 2, 4",1,"1, 5",3,,1,"1, 2",5,"3, 5",Non so,5,5,"1, 2, 4",3,,3,4,1,2,5,,,Donna,21-30,Preferisco non rispondere,,Preferisco non rispondere,"Laurea, Università",Preferisco non rispondere,"Italiano, Inglese",Single,Con più di due coinquilin*,Disoccupat*,Non lavoro e non studio
07/02/2021 18.05.38,"Libri, giornali, riviste",5,La pizzeria del cuore è in cima alla lista,"Rimango fedele all'appartamento, il mio habitat del cuore",Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Scopro che un conoscente non paga le tasse","La re-impennata degli agenti inquinanti, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Non ho particolari preferenze,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,"Piantare alberi, Sistemare la viabilità","vecchia, chiusa, ma anche piena di potenzialità ",Scenari tipo Terminator,8,"1, 2","1, 2","1, 2","3, 4, 5",,"1, 2","1, 2",Non so,"3, 4, 5","3, 4, 5",Non so,"4, 5",Non so,"3, 4, 5",4,3,5,"1, 2","1, 2","1, 2",Non so,,Uomo,21-30,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Single,Da sol*,Student*,Tempo pieno
08/02/2021 9.47.25,Articoli sportivi,6,Adoro cucinare,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La mia situazione,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,"Sistemare la viabilità, Rivedere l'assegnazione delle case popolari",Divisa ,È una questione delicata che dobbiamo gestire,7,"1, 4, 5","2, 4, 5",1,,,Non so,Non so,"4, 5",Non so,Non so,1,1,"4, 5",1,2,Non so,Non so,4,5,Non so,Non so,,Uomo,21-30,Italia,,Bolzano,"Laurea, Università","Italiano, Inglese","Italiano, Inglese",Convivente (anche non formalizzato),,Student*,Tempo pieno
08/02/2021 10.04.13,Macchine fotografiche e altre attrezzature elettroniche,5,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Aspetto che mi coinvolgano le altre persone,"Vedo una persona che getta una lattina a terra, Penso che tutte le persone al potere vogliono fare solo i loro interessi",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,Sistemare la viabilità,"giovane, innovativa, pronta al cambiamento",Può essere una valida alleata degli umani,7,"1, 5","1, 2, 5","1, 5","3, 4",,"1, 5",5,5,4,4,Non so,Non so,"1, 2, 3, 4, 5",Non so,Non so,4,"1, 2",3,2,5,5,,Uomo,21-30,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Tedesco, Inglese",Single,Con più di due coinquilin*,Lavorator*,Tempo pieno
09/02/2021 10.43.34,Articoli per la casa,6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La situazione delle persone a me vicine,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Sospesa,Una cosa entusiasmante,7,4,2,1,Non so,,"4, 5","1, 2, 3, 4",Non so,Non so,Non so,Non so,Non so,"1, 2, 3, 4, 5",Non so,3,4,4,2,4,2,5,,Uomo,21-30,Bolzano,,Bolzano,Laurea specialistica,Italiano,"Italiano, Tedesco, Inglese",Single,Da sol*,Lavorator*,Tempo pieno
09/02/2021 14.53.49,"Cosmetica, bellezza, benessere",6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Rompo il ghiaccio, vado a ruota libera","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",No,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Distante,È una questione delicata che dobbiamo gestire,7,1,2,1,4,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,,Donna,41-50,Estero (EU),Austri,Tesimo,Laurea specialistica,Tedesco,"Italiano, Tedesco, Inglese",Sposat*,Con partner e figl*,Lavorator*,Part-time
09/02/2021 16.39.55,"Libri, giornali, riviste",7,Per fortuna vivo con altre persone che se ne occupano,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Penso che tutte le persone al potere vogliono fare solo i loro interessi, Scopro che un conoscente non paga le tasse","La situazione delle persone a me vicine, La re-impennata degli agenti inquinanti",Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Alla grande,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza","Ancora un pò ""vecchia"" guidata da ""vecchi"", nulla contro il sindaco che apprezzo moltissimo!  la vorrei più brillante e sportiva... 
aggettivi : stanca, non attiva, bella ",Può essere una valida alleata degli umani,7,2,5,1,4,,2,5,1,4,4,Non so,Non so,3,1,Non so,2,4,5,2,1,Non so,"non ho una relazione diretta con colori e zone, è stata una scelta d'impulso
",Uomo,60+,Altro comune Trentino Alto Adige,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
09/02/2021 18.13.37,Articoli sportivi,3,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una, Scopro che un conoscente non paga le tasse","La situazione delle persone a me vicine, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Capricciosa,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Sistemare la viabilità,Complicata ,Può essere una valida alleata degli umani,7,"1, 2",2,1,Non so,,2,2,"1, 2",Non so,4,1,Non so,2,Non so,2,5,2,2,3,"1, 5",4,,Uomo,60+,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco",Sposat*,Con partner,Pensionat*,Non lavoro e non studio
09/02/2021 19.17.27,"Libri, giornali, riviste",4,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Aspetto che mi coinvolgano le altre persone,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Penso che tutte le persone al potere vogliono fare solo i loro interessi",La situazione delle persone a me vicine,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Trasformata rispetto a qualche anno fa ,Può essere una valida alleata degli umani,7,1,2,1,5,,1,4,1,Non so,Non so,Non so,Non so,1,4,5,4,2,1,3,3,1,,Donna,41-50,Bolzano,,Bassa Atesina ,"Master, Università",Italiano,"Italiano, Tedesco",Separat*/Divorziat*,Con un coinquilin*,Lavorator*,Tempo pieno
09/02/2021 20.13.37,"Cosmetica, bellezza, benessere",6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Grigia e minacciosa,Può essere una valida alleata degli umani,8,2,1,1,Non so,,Non so,1,Non so,Non so,"4, 5",Non so,Non so,"1, 2",2,Non so,1,Non so,"4, Non so",Non so,"4, 5",Non so,,Donna,21-30,Altro comune Trentino Alto Adige,,Merano,"Laurea, Università",Italiano,Italiano,Single,Con due coinquilin*,Student*,Part-time
09/02/2021 21.22.00,"Cosmetica, bellezza, benessere",6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Grigia e minacciosa,Può essere una valida alleata degli umani,8,2,1,1,Non so,,Non so,1,Non so,Non so,"4, 5",Non so,Non so,"1, 2",2,Non so,1,Non so,"4, Non so",Non so,"4, 5",Non so,,Donna,21-30,Altro comune Trentino Alto Adige,,Merano,"Laurea, Università",Italiano,Italiano,Single,Con due coinquilin*,Student*,Part-time
09/02/2021 21.39.48,"Libri, giornali, riviste",4,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Aspetto che mi coinvolgano le altre persone,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Penso che tutte le persone al potere vogliono fare solo i loro interessi",La situazione delle persone a me vicine,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Trasformata rispetto a qualche anno fa ,Può essere una valida alleata degli umani,7,1,2,1,5,,1,4,1,Non so,Non so,Non so,Non so,1,4,5,4,2,1,3,3,1,,Donna,41-50,Bolzano,,Bassa Atesina ,"Master, Università",Italiano,"Italiano, Tedesco",Separat*/Divorziat*,Con un coinquilin*,Lavorator*,Tempo pieno
09/02/2021 22.03.13,"Libri, giornali, riviste",7,Adoro cucinare,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Marinara,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,Eliminare lo spaccio e la delinquenza,Vecchia priva di stimoli,Può essere una valida alleata degli umani,5,"1, 3",2,1,4,,Non so,2,Non so,"4, 5","4, 5",5,Non so,Non so,"4, 5",5,5,3,"1, 2",2,"3, Non so",Non so,,Donna,51-60,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Separat*/Divorziat*,Con partner e figl*,Lavorator*,Tempo pieno
09/02/2021 22.49.19,Articoli per la casa,6,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Chissà,"Riqualificare/rimuovere i monumenti di epoca fascista, Sistemare la viabilità",Piccola e provinciale ,È una questione delicata che dobbiamo gestire,8,2,2,2,4,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,1,5,4,5,1,Non so,5,,Donna,41-50,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Separat*/Divorziat*,Preferisco non rispondere,Lavorator*,Part-time
09/02/2021 23.03.02,Articoli per la casa,7,Adoro cucinare,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Penso che tutte le persone al potere vogliono fare solo i loro interessi",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Riqualificare/rimuovere i monumenti di epoca fascista, Sistemare la viabilità",Triste,Una cosa entusiasmante,7,1,Non so,1,5,,1,"1, 2",Non so,5,Non so,3,Non so,Non so,5,5,4,3,1,2,2,5,Si,Donna,51-60,Italia,,Bolzano,"Laurea, Università",Italiano,Italiano,Single,Da sol*,Lavorator*,Tempo pieno
10/02/2021 8.18.35,Musica o film,6,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,Essere incapace di staccarmi da computer e smartphone,Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Chissà,Eliminare lo spaccio e la delinquenza,"Pallida, triste, affaticata.","Non ho idea di cosa sia, ma sono curios*",7,"1, 3",3,"2, 3, 4","1, Non so","La zona di origine, condiziona un po per affetto, le scelte. ","1, 4",3,Non so,"1, 4, 5","1, 4",Non so,Non so,"1, 4",Non so,1,"2, 3",Non so,"1, 3, 5","2, 3",3,5,,Donna,51-60,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,Italiano,Separat*/Divorziat*,Da sol*,Lavorator*,Tempo pieno
10/02/2021 9.17.22,"Libri, giornali, riviste",5,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La situazione delle persone a me vicine,Capricciosa,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Inquinata,Può essere una valida alleata degli umani,8,1,2,2,5,,2,2,1,4,4,4,Non so,1,3,4,3,1,1,2,Non so,3,No,Donna,60+,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco",Sposat*,Con un coinquilin*,Pensionat*,Non lavoro e non studio
10/02/2021 20.29.04,Articoli sportivi,3,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La mia situazione,Vegetariana,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Assonnata,Può essere una valida alleata degli umani,7,3,2,1,5,,3,3,1,5,4,Non so,Non so,4,5,4,3,2,1,5,Non so,Non so,,Donna,41-50,Italia,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,"Italiano, Tedesco, Ladino, Inglese, Francese",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
10/02/2021 20.51.13,"Libri, giornali, riviste",6,Provo sempre nuovi take-away/delivery,Mi gusto uno spettacolo dal vivo,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Marinara,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,Sistemare la viabilità,sopravvalutata,Può essere una valida alleata degli umani,6,"1, 3, 4",2,"1, 4",Non so,,4,4,1,1,Non so,Non so,Non so,4,Non so,4,1,5,2,5,3,Non so,,Donna,31-40,Altro comune Trentino Alto Adige,,Preferisco non rispondere,Laurea specialistica,Italiano,"Italiano, Tedesco, Inglese",Convivente (anche non formalizzato),Con un coinquilin*,Lavorator*,Tempo pieno
10/02/2021 20.52.40,Articoli per la casa,5,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La situazione delle persone a me vicine,Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Piantare alberi, Rivedere l'assegnazione delle case popolari",Aspetta che altri pensino per lei ,È una questione delicata che dobbiamo gestire,6,"1, 4",1,Non so,5,,4,2,1,5,"4, 5",Non so,Non so,3,"4, 5",1,2,3,5,4,2,5,,Donna,60+,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,Tedesco,Single,Preferisco non rispondere,Lavorator*,Tempo pieno
10/02/2021 20.59.14,Articoli per la casa,6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione",Penso che tutte le persone al potere vogliono fare solo i loro interessi,"Essere incapace di staccarmi da computer e smartphone, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,Sistemare la viabilità,Gobba,Può essere una valida alleata degli umani,6,4,4,1,1,,4,3,4,1,2,2,2,2,2,2,4,1,4,2,3,2,,Donna,41-50,Bolzano,,Bolzano,"Master, Università",Italiano,Tedesco,Convivente (anche non formalizzato),Da sol*,Lavorator*,Tempo pieno
10/02/2021 23.11.11,Articoli per la casa,7,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,Aspetto che mi coinvolgano le altre persone,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",La mia situazione,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",No,"Piantare alberi, Eliminare lo spaccio e la delinquenza",Triste ,Può essere una valida alleata degli umani,7,3,3,1,5,,3,3,3,4,5,5,4,3,5,5,4,3,3,3,3,2,,Donna,41-50,Italia,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Single,Da sol*,Lavorator*,Tempo pieno
11/02/2021 0.30.50,Articoli sportivi,3,La pizzeria del cuore è in cima alla lista,Imploro un aperitivo con gli amici,"Rompo il ghiaccio, vado a ruota libera",Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Capricciosa,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,Eliminare lo spaccio e la delinquenza,Cambiata,Una cosa entusiasmante,5,2,2,5,1,,5,2,5,1,1,1,1,1,1,1,4,4,2,"2, Non so",5,4,,Donna,51-60,Bolzano,,Bolzano,Laurea specialistica,Italiano,"Italiano, Tedesco, Inglese",Sposat*,Con partner e figl*,Preferisco non rispondere,Preferisco non rispondere
11/02/2021 0.53.22,"Libri, giornali, riviste",6,Adoro cucinare,Imploro un aperitivo con gli amici,Se potessi mi smaterializzerei,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Chissà,"Piantare alberi, Sistemare la viabilità",Bolzano sorride falsamente,"Non ho idea di cosa sia, ma sono curios*",6,"1, 3",5,"1, 2",4,Rilassante perchè è casa,"1, 5",Non so,1,Non so,Non so,Non so,Non so,Non so,Non so,5,1,3,2,4,Non so,5,"Il mio quartiere rosso=amore, viola=inquinamenro",Donna,51-60,Bolzano,,Bolzano,Istruzione secondaria/incompleta,Italiano,"Italiano, Tedesco",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
11/02/2021 7.20.44,Articoli per la casa,4,Adoro cucinare,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedo l'ora che qualcun* avvii la conversazione","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Scopro che un conoscente non paga le tasse",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Si,"Riqualificare/rimuovere i monumenti di epoca fascista, Piantare alberi",,È una questione delicata che dobbiamo gestire,7,"1, 2, 3, 4",2,1,Non so,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,4,3,Non so,2,"1, 4",Non so,Non so,,Uomo,51-60,Bolzano,,Bolzano,Laurea specialistica,Preferisco non rispondere,"Italiano, Tedesco, Inglese",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
11/02/2021 9.22.30,"Libri, giornali, riviste",5,Per fortuna vivo con altre persone che se ne occupano,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","Essere incapace di staccarmi da computer e smartphone, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Chissà,"Piantare alberi, Sistemare la viabilità",superba,È una questione delicata che dobbiamo gestire,7,"1, 2","1, 2","1, 2, 4",5,,"1, 2",2,"1, 2",5,Non so,4,Non so,"1, 2",4,5,3,2,2,4,2,1,,Donna,31-40,Altro comune Trentino Alto Adige,,Bolzano,"Laurea, Università",Italiano,"Italiano, spagnolo",Sposat*,Con partner e figl*,Lavorator*,Tempo pieno
11/02/2021 11.57.23,Articoli sportivi,5,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Scopro che un conoscente non paga le tasse",Essere incapace di staccarmi da computer e smartphone,Salsiccia e friarielli,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,"Piantare alberi, Sistemare la viabilità",,Può essere una valida alleata degli umani,7,1,2,1,Non so,,1,1,1,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,,Donna,31-40,Altro comune Trentino Alto Adige,,Trento,Dottorato di ricerca,Italiano,"Italiano, Tedesco, Inglese",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
11/02/2021 12.32.42,"Libri, giornali, riviste",4,La pizzeria del cuore è in cima alla lista,"Rimango fedele all'appartamento, il mio habitat del cuore",Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, I vicini del piano di sopra fanno rumore incessante per tutta la sera","La situazione delle persone a me vicine, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Margherita,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,Eliminare lo spaccio e la delinquenza,Arrogante e incompetente da come sta gestendo la situazione covid,È una questione delicata che dobbiamo gestire,5,"1, 2","1, 2",1,"3, 4",,1,1,1,"3, 4","3, 4","3, 4","3, 4",1,"3, 4",3,4,"1, 5",2,1,1,5,No,Preferisco non rispondere,21-30,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco",Convivente (anche non formalizzato),Preferisco non rispondere,Lavorator*,Tempo pieno
